dates,location,team
21/12/14,New York Jets,New York Jets
21/12/14,St. Louis Rams,St. Louis Rams
21/12/14,Chicago Bears,Chicago Bears
22/12/14,Cincinnati Bengals,Cincinnati Bengals
28/12/14,San Francisco 49ers,San Francisco 49ers
28/12/14,Tennessee Titans,Tennessee Titans
28/12/14,Atlanta Falcons,Atlanta Falcons
28/12/14,Seattle Seahawks,Seattle Seahawks
28/12/14,Washington Redskins,Washington Redskins
28/12/14,Green Bay Packers,Green Bay Packers
28/12/14,Denver Broncos,Denver Broncos
28/12/14,New England Patriots,New England Patriots
28/12/14,Houston Texans,Houston Texans
28/12/14,New York Giants,New York Giants
28/12/14,Kansas City Chiefs,Kansas City Chiefs
28/12/14,Miami Dolphins,Miami Dolphins
28/12/14,Tampa Bay Buccaneers,Tampa Bay Buccaneers
28/12/14,Pittsburgh Steelers,Pittsburgh Steelers
28/12/14,Minnesota Vikings,Minnesota Vikings
28/12/14,Baltimore Ravens,Baltimore Ravens
3/1/15,Pittsburgh Steelers,Pittsburgh Steelers
3/1/15,Carolina Panthers,Carolina Panthers
4/1/15,Dallas Cowboys,Dallas Cowboys
4/1/15,Indianapolis Colts,Indianapolis Colts
10/1/15,New England Patriots,New England Patriots
10/1/15,Seattle Seahawks,Seattle Seahawks
11/1/15,Denver Broncos,Denver Broncos
11/1/15,Green Bay Packers,Green Bay Packers
18/1/15,Seattle Seahawks,Seattle Seahawks
18/1/15,New England Patriots,New England Patriots
1/2/15,Superbowl 2015,Seattle Seahawks
10/9/15,New England Patriots,New England Patriots
13/9/15,San Diego Chargers,San Diego Chargers
13/9/15,Buffalo Bills,Buffalo Bills
13/9/15,New York Jets,New York Jets
13/9/15,Oakland Raiders,Oakland Raiders
13/9/15,Arizona Cardinals,Arizona Cardinals
13/9/15,Jacksonville Jaguars,Jacksonville Jaguars
13/9/15,Denver Broncos,Denver Broncos
13/9/15,Dallas Cowboys,Dallas Cowboys
13/9/15,St. Louis Rams,St. Louis Rams
13/9/15,Houston Texans,Houston Texans
13/9/15,Chicago Bears,Chicago Bears
13/9/15,Washington Redskins,Washington Redskins
13/9/15,Tampa Bay Buccaneers,Tampa Bay Buccaneers
14/9/15,San Francisco 49ers,San Francisco 49ers
14/9/15,Atlanta Falcons,Atlanta Falcons
17/9/15,Kansas City Chiefs,Kansas City Chiefs
20/9/15,New York Giants,New York Giants
20/9/15,Buffalo Bills,Buffalo Bills
20/9/15,New Orleans Saints,New Orleans Saints
20/9/15,Washington Redskins,Washington Redskins
